attendance_id,student_id,course_id,lecture_date,status
ATT000191,STU00222,CRS004,2026-05-18,Late
ATT000192,STU00284,CRS020,2026-04-09,Late
ATT000193,STU00076,CRS019,2026-05-03,Late
ATT000194,STU00431,CRS014,2026-06-08,Absent
ATT000195,STU00832,CRS011,2026-05-19,Present
ATT000196,STU00201,CRS002,2026-04-20,Absent
ATT000197,STU00510,CRS002,2026-06-09,Absent
ATT000198,STU00431,CRS004,2026-05-30,Present
ATT000199,STU00463,CRS006,2026-04-25,Late
ATT000200,STU00334,CRS019,2026-04-18,Absent
ATT000201,STU00242,CRS019,2026-06-11,Present
ATT000202,STU00291,CRS001,2026-06-01,Late
ATT000203,STU00802,CRS019,2026-06-27,Present
ATT000204,STU00933,CRS015,2026-05-13,Absent
ATT000205,STU00134,CRS013,2026-04-16,Present
ATT000206,STU00917,CRS018,2026-05-31,Late
ATT000207,STU00040,CRS011,2026-04-04,Late
ATT000208,STU00016,CRS003,2026-05-29,Absent
ATT000209,STU00097,CRS014,2026-04-26,Late
ATT000210,STU00308,CRS009,2026-05-10,Absent
ATT000211,STU00771,CRS012,2026-05-01,Absent
ATT000212,STU00081,CRS018,2026-06-12,Absent
ATT000213,STU00505,CRS020,2026-06-08,Present
ATT000214,STU00402,CRS010,2026-04-04,Late
ATT000215,STU00465,CRS016,2026-06-06,Late
ATT000216,STU00990,CRS004,2026-06-23,Absent
ATT000217,STU00960,CRS020,2026-04-16,Present
ATT000218,STU00029,CRS008,2026-06-10,Present
ATT000219,STU00845,CRS001,2026-05-14,Present
ATT000220,STU00107,CRS011,2026-04-11,Late
ATT000221,STU00741,CRS014,2026-06-20,Present
ATT000222,STU00174,CRS003,2026-06-04,Present
ATT000223,STU00741,CRS012,2026-05-24,Late
ATT000224,STU00004,CRS002,2026-04-30,Absent
ATT000225,STU00904,CRS002,2026-04-18,Present
ATT000226,STU00049,CRS010,2026-05-31,Present
ATT000227,STU00270,CRS011,2026-04-30,Late
ATT000228,STU00627,CRS013,2026-06-10,Absent
ATT000229,STU00715,CRS006,2026-04-30,Present
ATT000230,STU00597,CRS015,2026-04-09,Present
ATT000231,STU00129,CRS011,2026-06-06,Present
ATT000232,STU00771,CRS019,2026-06-18,Absent
ATT000233,STU00652,CRS015,2026-05-04,Late
ATT000234,STU00125,CRS017,2026-04-20,Late
ATT000235,STU00246,CRS019,2026-05-13,Absent
ATT000236,STU00677,CRS016,2026-05-14,Absent
ATT000237,STU00329,CRS016,2026-06-20,Present
ATT000238,STU00094,CRS009,2026-04-14,Absent
ATT000239,STU00728,CRS003,2026-06-23,Absent
ATT000240,STU00571,CRS008,2026-05-11,Late
ATT000241,STU00662,CRS007,2026-05-05,Late
ATT000242,STU00079,CRS003,2026-04-13,Absent
ATT000243,STU00061,CRS007,2026-06-04,Present
ATT000244,STU00686,CRS007,2026-05-27,Absent
ATT000245,STU00838,CRS013,2026-06-27,Present
ATT000246,STU00499,CRS004,2026-04-19,Absent
ATT000247,STU00213,CRS019,2026-04-12,Late
ATT000248,STU00526,CRS011,2026-06-02,Absent
ATT000249,STU00725,CRS015,2026-04-06,Late
ATT000250,STU00157,CRS017,2026-04-13,Present
ATT000251,STU00936,CRS005,2026-06-16,Present
ATT000252,STU00938,CRS012,2026-05-12,Absent
ATT000253,STU00998,CRS015,2026-04-16,Late
ATT000254,STU00525,CRS007,2026-05-01,Absent
ATT000255,STU00192,CRS003,2026-06-19,Absent
ATT000256,STU00433,CRS006,2026-05-25,Late
ATT000257,STU00314,CRS019,2026-06-11,Late
ATT000258,STU00104,CRS005,2026-05-28,Absent
ATT000259,STU00897,CRS004,2026-05-26,Late
ATT000260,STU00112,CRS008,2026-04-16,Present
ATT000261,STU00915,CRS015,2026-06-27,Present
ATT000262,STU00273,CRS001,2026-06-16,Absent
ATT000263,STU00677,CRS017,2026-04-08,Absent
ATT000264,STU00360,CRS009,2026-06-17,Present
ATT000265,STU00949,CRS018,2026-05-15,Present
ATT000266,STU00362,CRS014,2026-06-29,Present
ATT000267,STU00154,CRS013,2026-05-24,Late
ATT000268,STU00441,CRS017,2026-06-15,Absent
ATT000269,STU00054,CRS015,2026-04-26,Absent
ATT000270,STU00378,CRS004,2026-06-05,Present
ATT000271,STU00664,CRS013,2026-06-06,Late
ATT000272,STU00950,CRS014,2026-04-23,Present
ATT000273,STU00301,CRS007,2026-04-30,Absent
ATT000274,STU00180,CRS020,2026-05-23,Absent
ATT000275,STU00542,CRS020,2026-06-20,Absent
ATT000276,STU00531,CRS014,2026-05-24,Present
ATT000277,STU00697,CRS002,2026-04-14,Late
ATT000278,STU00254,CRS004,2026-05-22,Present
ATT000279,STU00117,CRS002,2026-04-01,Present
ATT000280,STU00589,CRS009,2026-06-28,Present
ATT000281,STU00067,CRS018,2026-04-04,Present
ATT000282,STU00282,CRS008,2026-05-13,Late
ATT000283,STU00716,CRS013,2026-06-09,Absent
ATT000284,STU00402,CRS004,2026-04-04,Present
ATT000285,STU00751,CRS009,2026-05-18,Absent
ATT000286,STU00210,CRS006,2026-05-14,Present
ATT000287,STU00355,CRS010,2026-06-11,Late
ATT000288,STU00610,CRS010,2026-06-13,Late
ATT000289,STU00003,CRS004,2026-05-11,Present
ATT000290,STU00515,CRS020,2026-04-22,Absent
ATT000291,STU00756,CRS010,2026-05-21,Late
ATT000292,STU00244,CRS006,2026-04-02,Absent
ATT000293,STU00697,CRS003,2026-06-05,Present
ATT000294,STU00191,CRS011,2026-06-25,Absent
ATT000295,STU00145,CRS001,2026-04-12,Late
ATT000296,STU00485,CRS014,2026-04-27,Absent
ATT000297,STU00021,CRS006,2026-05-29,Absent
ATT000298,STU00902,CRS003,2026-04-09,Present
ATT000299,STU00695,CRS001,2026-05-14,Late
ATT000300,STU00360,CRS016,2026-04-28,Late
ATT000301,STU00001,CRS016,2026-06-03,Present
ATT000302,STU00483,CRS004,2026-06-17,Present
ATT000303,STU00838,CRS001,2026-06-07,Late
ATT000304,STU00696,CRS010,2026-04-03,Present
ATT000305,STU00537,CRS017,2026-05-11,Present
ATT000306,STU00773,CRS005,2026-06-09,Present
ATT000307,STU00102,CRS010,2026-06-18,Late
ATT000308,STU00343,CRS015,2026-05-07,Absent
ATT000309,STU00752,CRS012,2026-06-11,Late
ATT000310,STU00263,CRS016,2026-05-04,Absent
ATT000311,STU00373,CRS015,2026-05-12,Present
ATT000312,STU00847,CRS012,2026-05-28,Absent
ATT000313,STU00727,CRS011,2026-06-17,Late
ATT000314,STU00793,CRS020,2026-04-07,Absent
ATT000315,STU00115,CRS009,2026-06-20,Late
ATT000316,STU00531,CRS001,2026-04-30,Present
ATT000317,STU00420,CRS008,2026-04-03,Late
ATT000318,STU00145,CRS012,2026-05-09,Absent
ATT000319,STU00031,CRS008,2026-04-25,Late
ATT000320,STU00758,CRS014,2026-06-25,Absent
ATT000321,STU00211,CRS003,2026-05-19,Present
ATT000322,STU00942,CRS013,2026-06-11,Late
ATT000323,STU00110,CRS009,2026-06-10,Late
ATT000324,STU00695,CRS018,2026-04-08,Absent
ATT000325,STU00981,CRS017,2026-06-19,Present
ATT000326,STU00271,CRS012,2026-06-06,Absent
ATT000327,STU00400,CRS019,2026-04-05,Absent
ATT000328,STU00967,CRS009,2026-06-25,Absent
ATT000329,STU00195,CRS002,2026-05-31,Late
ATT000330,STU00532,CRS011,2026-06-19,Late
ATT000331,STU00125,CRS014,2026-04-10,Absent
ATT000332,STU00580,CRS012,2026-05-03,Absent
ATT000333,STU00112,CRS001,2026-05-26,Absent
ATT000334,STU00949,CRS005,2026-05-03,Absent
ATT000335,STU00697,CRS005,2026-04-16,Late
ATT000336,STU00989,CRS010,2026-05-21,Late
ATT000337,STU00571,CRS006,2026-04-07,Absent
ATT000338,STU00498,CRS010,2026-06-03,Present
ATT000339,STU00818,CRS010,2026-04-19,Present
ATT000340,STU00464,CRS002,2026-06-28,Present
ATT000341,STU00289,CRS019,2026-04-22,Present
ATT000342,STU00054,CRS016,2026-04-11,Absent
ATT000343,STU00004,CRS014,2026-05-14,Absent
ATT000344,STU00676,CRS001,2026-06-24,Present
ATT000345,STU00257,CRS005,2026-05-23,Absent
ATT000346,STU00899,CRS010,2026-06-26,Late
ATT000347,STU00681,CRS018,2026-04-19,Present
ATT000348,STU00976,CRS003,2026-06-07,Late
ATT000349,STU00277,CRS005,2026-04-21,Late
ATT000350,STU00201,CRS014,2026-05-02,Late
ATT000351,STU00940,CRS003,2026-04-25,Absent
ATT000352,STU00224,CRS002,2026-06-01,Absent
ATT000353,STU00955,CRS012,2026-04-25,Present
ATT000354,STU00831,CRS013,2026-04-06,Absent
ATT000355,STU00408,CRS004,2026-05-02,Absent
ATT000356,STU00942,CRS010,2026-05-14,Late
ATT000357,STU00318,CRS006,2026-05-18,Late
ATT000358,STU00446,CRS011,2026-04-12,Late
ATT000359,STU00142,CRS007,2026-06-03,Absent
ATT000360,STU00138,CRS014,2026-06-01,Late
ATT000361,STU00204,CRS010,2026-05-18,Absent
ATT000362,STU00087,CRS010,2026-04-27,Late
ATT000363,STU00949,CRS015,2026-05-26,Late
ATT000364,STU00187,CRS013,2026-06-11,Absent
ATT000365,STU00098,CRS005,2026-06-25,Late
ATT000366,STU00452,CRS011,2026-06-12,Late
ATT000367,STU00957,CRS012,2026-06-24,Absent
ATT000368,STU00362,CRS014,2026-04-06,Absent
ATT000369,STU00430,CRS014,2026-06-20,Absent
ATT000370,STU00028,CRS018,2026-05-12,Present
ATT000371,STU00980,CRS014,2026-04-08,Present
ATT000372,STU00773,CRS005,2026-06-20,Late
ATT000373,STU00928,CRS010,2026-04-26,Present
ATT000374,STU00594,CRS017,2026-06-26,Absent
ATT000375,STU00130,CRS020,2026-04-10,Late
ATT000376,STU00921,CRS019,2026-04-25,Absent
ATT000377,STU00054,CRS013,2026-06-02,Present
ATT000378,STU00412,CRS001,2026-05-15,Absent
ATT000379,STU00826,CRS017,2026-06-18,Absent
ATT000380,STU00859,CRS002,2026-05-17,Present
ATT000381,STU00056,CRS009,2026-05-27,Late
ATT000382,STU00109,CRS011,2026-04-27,Late
ATT000383,STU00099,CRS010,2026-06-27,Late
ATT000384,STU00493,CRS011,2026-05-19,Present
ATT000385,STU00124,CRS019,2026-04-12,Late
ATT000386,STU00523,CRS002,2026-05-02,Late
ATT000387,STU00209,CRS017,2026-05-10,Present
ATT000388,STU00575,CRS016,2026-05-29,Present
ATT000389,STU00228,CRS005,2026-04-27,Absent
ATT000390,STU00643,CRS010,2026-04-06,Late
ATT000391,STU00959,CRS001,2026-06-18,Absent
ATT000392,STU00638,CRS007,2026-04-21,Present
ATT000393,STU00068,CRS001,2026-06-25,Present
ATT000394,STU00618,CRS004,2026-05-29,Late
ATT000395,STU00099,CRS008,2026-05-08,Present
ATT000396,STU00106,CRS016,2026-05-01,Present
ATT000397,STU00852,CRS017,2026-05-29,Absent
ATT000398,STU00400,CRS002,2026-04-30,Present
ATT000399,STU00307,CRS013,2026-05-24,Absent
ATT000400,STU00188,CRS008,2026-06-02,Late
ATT000401,STU00266,CRS020,2026-06-15,Late
ATT000402,STU00449,CRS020,2026-05-11,Present
ATT000403,STU00442,CRS005,2026-04-28,Late
ATT000404,STU00022,CRS006,2026-04-12,Present
ATT000405,STU00838,CRS008,2026-06-11,Present
ATT000406,STU00523,CRS018,2026-04-16,Present
ATT000407,STU00487,CRS016,2026-04-24,Absent
ATT000408,STU00296,CRS004,2026-05-14,Late
ATT000409,STU00504,CRS012,2026-06-27,Late
ATT000410,STU00281,CRS013,2026-06-09,Absent
ATT000411,STU00714,CRS004,2026-04-05,Absent
ATT000412,STU00426,CRS014,2026-05-02,Present
ATT000413,STU00028,CRS010,2026-05-12,Absent
ATT000414,STU00123,CRS019,2026-04-15,Absent
ATT000415,STU00011,CRS019,2026-06-23,Absent
ATT000416,STU00034,CRS020,2026-06-04,Absent
ATT000417,STU00043,CRS012,2026-04-26,Present
ATT000418,STU00479,CRS015,2026-06-27,Absent
ATT000419,STU00009,CRS006,2026-06-15,Absent
ATT000420,STU00512,CRS017,2026-06-02,Present
ATT000421,STU00357,CRS017,2026-05-30,Absent
ATT000422,STU00525,CRS003,2026-04-14,Present
ATT000423,STU00671,CRS005,2026-04-22,Absent
ATT000424,STU00671,CRS019,2026-04-04,Absent
ATT000425,STU00470,CRS005,2026-04-29,Absent
ATT000426,STU00803,CRS010,2026-04-12,Absent
ATT000427,STU00069,CRS016,2026-04-24,Absent
ATT000428,STU00985,CRS016,2026-04-17,Late
ATT000429,STU00674,CRS006,2026-05-21,Late
ATT000430,STU00725,CRS017,2026-04-04,Late
ATT000431,STU00538,CRS009,2026-04-29,Present
ATT000432,STU00714,CRS011,2026-05-01,Late
ATT000433,STU00978,CRS019,2026-05-04,Absent
ATT000434,STU00598,CRS020,2026-05-19,Absent
ATT000435,STU00069,CRS002,2026-04-15,Present
ATT000436,STU00872,CRS006,2026-04-28,Present
ATT000437,STU00098,CRS004,2026-06-22,Absent
ATT000438,STU00956,CRS016,2026-05-07,Absent
ATT000439,STU00778,CRS008,2026-05-15,Late
ATT000440,STU00814,CRS008,2026-04-14,Present
ATT000441,STU00921,CRS006,2026-05-12,Late
ATT000442,STU00913,CRS013,2026-04-29,Absent
ATT000443,STU00944,CRS003,2026-04-01,Present
ATT000444,STU00626,CRS009,2026-06-06,Present
ATT000445,STU00038,CRS003,2026-06-27,Absent
ATT000446,STU00781,CRS012,2026-04-30,Late
ATT000447,STU00646,CRS001,2026-06-03,Present
ATT000448,STU00328,CRS004,2026-05-13,Late
ATT000449,STU00460,CRS013,2026-04-27,Present
ATT000450,STU00652,CRS019,2026-06-24,Late
ATT000451,STU00204,CRS007,2026-06-28,Absent
ATT000452,STU00502,CRS015,2026-05-22,Late
ATT000453,STU00292,CRS008,2026-04-14,Present
ATT000454,STU00759,CRS006,2026-05-21,Absent
ATT000455,STU00833,CRS017,2026-06-21,Present
ATT000456,STU00088,CRS019,2026-05-10,Present
ATT000457,STU00644,CRS004,2026-06-02,Present
ATT000458,STU00034,CRS005,2026-06-05,Present
ATT000459,STU00368,CRS014,2026-06-21,Late
ATT000460,STU00559,CRS003,2026-04-13,Absent
ATT000461,STU00189,CRS017,2026-05-20,Absent
ATT000462,STU00194,CRS007,2026-04-28,Late
ATT000463,STU00847,CRS016,2026-05-07,Late
ATT000464,STU00360,CRS012,2026-06-15,Late
ATT000465,STU00921,CRS018,2026-05-11,Present
ATT000466,STU00820,CRS003,2026-04-09,Absent
ATT000467,STU00437,CRS013,2026-04-05,Present
ATT000468,STU00582,CRS003,2026-05-28,Present
ATT000469,STU00801,CRS017,2026-05-23,Absent
ATT000470,STU00103,CRS004,2026-04-20,Absent
ATT000471,STU00236,CRS002,2026-06-24,Late
ATT000472,STU00553,CRS011,2026-04-26,Present
ATT000473,STU00229,CRS010,2026-04-03,Absent
ATT000474,STU00399,CRS012,2026-05-19,Present
ATT000475,STU00893,CRS006,2026-05-11,Absent
ATT000476,STU00076,CRS018,2026-05-31,Late
ATT000477,STU00247,CRS017,2026-04-08,Late
ATT000478,STU00512,CRS010,2026-05-17,Absent
ATT000479,STU00633,CRS002,2026-04-18,Late
ATT000480,STU00714,CRS004,2026-04-29,Late
ATT000481,STU00482,CRS009,2026-05-25,Late
ATT000482,STU00030,CRS002,2026-06-24,Absent
ATT000483,STU00431,CRS009,2026-06-21,Present
ATT000484,STU00342,CRS002,2026-05-03,Present
ATT000485,STU00209,CRS018,2026-04-14,Late
ATT000486,STU00337,CRS002,2026-06-16,Present
ATT000487,STU00505,CRS003,2026-05-04,Late
ATT000488,STU00926,CRS020,2026-05-04,Late
ATT000489,STU00855,CRS002,2026-04-26,Absent
ATT000490,STU00072,CRS014,2026-05-02,Late
ATT000491,STU00757,CRS020,2026-06-27,Present
ATT000492,STU00908,CRS018,2026-06-18,Absent
ATT000493,STU00969,CRS005,2026-04-08,Absent
ATT000494,STU00740,CRS002,2026-06-05,Present
ATT000495,STU00036,CRS016,2026-05-10,Late
ATT000496,STU00230,CRS012,2026-06-29,Absent
ATT000497,STU00489,CRS010,2026-06-12,Present
ATT000498,STU00021,CRS002,2026-04-26,Present
ATT000499,STU00792,CRS007,2026-06-12,Late
ATT000500,STU00622,CRS013,2026-06-27,Late
ATT000501,STU00700,CRS001,2026-05-09,Late
ATT000502,STU00493,CRS002,2026-06-20,Absent
ATT000503,STU00784,CRS013,2026-04-13,Late
ATT000504,STU00128,CRS014,2026-05-23,Late
ATT000505,STU00437,CRS018,2026-04-08,Present
ATT000506,STU00118,CRS015,2026-04-19,Present
ATT000507,STU00918,CRS020,2026-05-13,Absent
ATT000508,STU00360,CRS007,2026-06-18,Absent
ATT000509,STU00447,CRS002,2026-06-28,Present
ATT000510,STU00237,CRS003,2026-04-06,Late
ATT000511,STU00010,CRS008,2026-06-26,Absent
ATT000512,STU00765,CRS018,2026-06-08,Late
ATT000513,STU00046,CRS001,2026-04-08,Late
ATT000514,STU00255,CRS002,2026-05-07,Present
ATT000515,STU00058,CRS005,2026-06-22,Absent
ATT000516,STU00184,CRS010,2026-05-08,Present
ATT000517,STU00321,CRS012,2026-05-21,Late
ATT000518,STU00670,CRS008,2026-06-03,Absent
ATT000519,STU00132,CRS020,2026-06-07,Absent
ATT000520,STU00490,CRS004,2026-04-13,Late
ATT000521,STU00078,CRS003,2026-04-17,Absent
ATT000522,STU00960,CRS018,2026-05-05,Present
ATT000523,STU00506,CRS012,2026-05-20,Present
ATT000524,STU00454,CRS010,2026-04-04,Absent
ATT000525,STU00798,CRS018,2026-06-14,Absent
ATT000526,STU00889,CRS008,2026-06-15,Late
ATT000527,STU00914,CRS009,2026-04-28,Absent
ATT000528,STU00714,CRS018,2026-05-21,Late
